         2623842 function calls (2574019 primitive calls) in 3.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10104    0.043    0.000    0.043    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
      120    0.035    0.000    0.040    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:58(update_downstream_dis)
        1    0.011    0.011    0.039    0.039 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/utils.py:73(generate_load_vehicles)
     7904    0.013    0.000    0.039    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/shape_base.py:24(atleast_1d)
       75    0.000    0.000    0.035    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/space.py:9(__init__)
      147    0.000    0.000    0.035    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/space.py:21(seed)
      147    0.012    0.000    0.035    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/utils/seeding.py:10(np_random)
     3069    0.002    0.000    0.030    0.000 <__array_function__ internals>:2(argsort)
        1    0.000    0.000    0.029    0.029 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:38(set_mode)
   263536    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
       10    0.000    0.000    0.029    0.003 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:551(__init__)
     4120    0.027    0.000    0.027    0.000 {built-in method builtins.print}
     7904    0.006    0.000    0.026    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:256(<listcomp>)
     3069    0.002    0.000    0.025    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:999(argsort)
    24840    0.020    0.000    0.025    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/copy.py:242(_keep_alive)
     3892    0.024    0.000    0.024    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:639(<listcomp>)
       72    0.001    0.000    0.021    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/box.py:24(__init__)
     7904    0.019    0.000    0.020    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:183(_broadcast_shape)
        1    0.000    0.000    0.017    0.017 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/dict.py:34(__init__)
        1    0.000    0.000    0.017    0.017 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/dict.py:47(seed)
        1    0.000    0.000    0.017    0.017 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/dict.py:48(<listcomp>)
        3    0.010    0.003    0.016    0.005 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:834(_namespaces)
     2016    0.001    0.000    0.016    0.000 <__array_function__ internals>:2(sum)
      120    0.001    0.000    0.016    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:2965(rvs)
