         2623842 function calls (2574019 primitive calls) in 3.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1457(_get_handles)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:904(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/arrayprint.py:65(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x55c2e5990ac0}
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2414(_cumsum_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/policy/null_policy.py:10(__init__)
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:917(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2584(_amax_dispatcher)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:479(__enter__)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2709(_amin_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method sys.audit}


